no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status,loan_income_ratio
4,0,1,6400000,23500000,2,485,7300000,2700000,23600000,3900000,1,3.671875
4,1,1,4900000,17100000,6,612,1300000,7000000,19500000,5000000,1,3.489795918367347
3,0,1,9500000,24200000,8,879,3100000,17200000,26400000,12700000,1,2.5473684210526315
2,0,0,5700000,16400000,12,708,3700000,800000,15000000,4400000,1,2.8771929824561404
2,0,1,2700000,5700000,8,850,3500000,5000000,10500000,3900000,1,2.111111111111111
2,0,1,3900000,11300000,12,516,3100000,0,10400000,4600000,0,2.8974358974358974
0,0,0,7800000,28800000,12,465,4700000,7500000,28800000,7400000,0,3.6923076923076925
0,1,0,1100000,3200000,20,716,1800000,1400000,3600000,1500000,1,2.909090909090909
4,0,0,200000,600000,10,404,0,100000,400000,0,0,3.0
0,0,1,4700000,10600000,20,512,8400000,4000000,12300000,7000000,0,2.25531914893617
3,0,1,8200000,20600000,10,441,16100000,11400000,29100000,6100000,0,2.5121951219512195
2,0,1,4600000,18400000,2,555,7700000,2400000,14200000,4200000,1,4.0
5,0,0,1800000,7000000,18,466,2600000,2100000,6000000,1900000,0,3.888888888888889
3,1,1,3200000,8600000,2,427,3900000,1800000,7100000,4700000,0,2.6875
4,0,1,5500000,20000000,14,593,15100000,2700000,19900000,4900000,1,3.6363636363636362
3,1,0,7900000,18300000,10,731,4200000,3400000,22200000,8400000,1,2.3164556962025316
1,1,1,4000000,10100000,16,451,7000000,3900000,14300000,3900000,0,2.525
3,0,1,6800000,16900000,18,628,3600000,900000,15600000,4900000,1,2.485294117647059
1,0,0,2700000,9400000,18,704,5300000,2300000,6400000,2400000,1,3.4814814814814814
2,0,0,6800000,23500000,12,341,19300000,11800000,14300000,8500000,0,3.4558823529411766
5,1,0,8600000,21000000,8,465,11700000,14900000,19500000,9900000,0,2.441860465116279
4,1,0,8000000,30100000,4,431,11900000,13800000,18800000,11500000,1,3.7625
1,1,1,3700000,12600000,10,424,5400000,1100000,14200000,4400000,0,3.4054054054054053
0,1,0,2600000,5100000,14,678,500000,1200000,6000000,3100000,1,1.9615384615384615
4,1,0,4200000,16800000,6,381,9600000,3800000,14800000,5900000,0,4.0
5,1,1,8000000,28000000,10,449,18500000,1500000,17400000,3900000,0,3.5
1,0,0,7100000,23500000,12,768,6400000,12100000,22400000,7300000,1,3.3098591549295775
0,0,0,2000000,7000000,6,666,0,1200000,4300000,1400000,0,3.5
4,0,1,5800000,13300000,14,742,16100000,9300000,16300000,7000000,1,2.293103448275862
3,0,1,6700000,15800000,4,445,10500000,7600000,14100000,9100000,0,2.3582089552238807
2,1,0,7300000,28700000,14,634,5900000,3800000,21200000,10800000,1,3.9315068493150687
4,0,0,3300000,9700000,14,782,2500000,0,10400000,2200000,1,2.9393939393939394
0,1,0,3000000,7000000,10,781,7200000,600000,11700000,2700000,1,2.3333333333333335
4,0,0,7900000,17200000,14,318,14200000,9500000,23200000,9000000,0,2.1772151898734178
5,0,0,7600000,24100000,18,721,21900000,11500000,22900000,7200000,1,3.1710526315789473
5,0,0,3700000,9800000,4,563,9500000,5100000,11200000,3000000,1,2.6486486486486487
2,0,0,8400000,26300000,4,419,22900000,7900000,29200000,6200000,1,3.130952380952381
0,1,1,8200000,20800000,14,372,3800000,100000,26100000,5200000,0,2.5365853658536586
0,0,0,2900000,9500000,18,885,4300000,2300000,6500000,3500000,1,3.2758620689655173
1,0,1,9900000,38400000,12,596,10000000,9300000,36500000,6800000,1,3.878787878787879
0,1,0,4400000,14100000,2,349,3300000,1300000,8800000,6200000,1,3.2045454545454546
1,0,1,9000000,32200000,16,468,4500000,16400000,28600000,10900000,0,3.577777777777778
3,0,1,6800000,26900000,16,818,14700000,10400000,26300000,7300000,1,3.9558823529411766
2,0,0,8700000,28000000,12,543,16900000,6000000,22900000,6700000,0,3.218390804597701
3,1,0,9400000,21900000,16,685,8100000,5600000,34500000,5000000,1,2.3297872340425534
3,0,1,6000000,12500000,18,851,14600000,5000000,16800000,5000000,1,2.0833333333333335
1,0,1,9400000,29800000,10,377,24100000,18500000,30900000,11700000,0,3.1702127659574466
0,0,1,1000000,4000000,10,620,2400000,1300000,3700000,1100000,1,4.0
3,1,1,900000,2300000,20,611,600000,1500000,1900000,500000,1,2.5555555555555554
4,0,0,2100000,7700000,4,767,1200000,1700000,6900000,1300000,1,3.6666666666666665
5,1,1,1100000,3200000,20,592,3200000,700000,3500000,500000,1,2.909090909090909
0,1,1,600000,2300000,4,319,1600000,800000,2300000,700000,1,3.8333333333333335
4,0,1,9200000,25500000,10,900,9400000,10500000,27400000,12800000,1,2.7717391304347827
2,0,1,3600000,12800000,18,814,8600000,4100000,10300000,4100000,1,3.5555555555555554
5,0,1,1300000,5000000,10,755,2100000,2200000,4800000,1900000,1,3.8461538461538463
5,1,1,7700000,16800000,20,584,8600000,4800000,23400000,8000000,1,2.1818181818181817
4,1,1,9500000,23500000,14,380,22900000,6700000,25100000,7300000,0,2.473684210526316
2,0,1,5000000,17600000,20,465,6200000,5200000,16500000,5200000,0,3.52
0,0,0,500000,1800000,2,531,1300000,500000,1900000,700000,1,3.6
1,1,1,8300000,32100000,16,814,18500000,2700000,28900000,7500000,1,3.8674698795180724
0,1,0,5300000,17900000,6,678,4700000,3900000,14400000,3600000,1,3.3773584905660377
2,0,1,9300000,29000000,12,655,7900000,6800000,29900000,4900000,1,3.118279569892473
3,0,0,2300000,7400000,2,682,6500000,2400000,7600000,2100000,1,3.217391304347826
1,0,0,400000,1300000,6,695,200000,500000,800000,100000,1,3.25
3,0,0,3200000,10800000,4,833,2600000,1000000,8700000,2600000,1,3.375
5,0,1,9400000,35300000,16,302,4100000,12500000,37000000,12900000,0,3.75531914893617
1,1,0,2300000,6600000,2,357,5900000,200000,6000000,2200000,0,2.869565217391304
5,0,0,4300000,14500000,12,302,12500000,4300000,12500000,5100000,0,3.372093023255814
0,1,1,6200000,22400000,18,873,15700000,6600000,15800000,8200000,1,3.6129032258064515
0,0,1,7200000,19800000,12,658,12700000,8100000,25000000,7300000,1,2.75
5,1,1,2400000,8700000,18,877,2800000,2900000,7100000,1100000,1,3.625
3,0,0,2900000,6300000,8,648,3400000,3400000,7600000,1400000,1,2.1724137931034484
1,1,0,1400000,5200000,12,730,2900000,0,3700000,700000,1,3.7142857142857144
4,0,1,2200000,8200000,14,737,5800000,2800000,8200000,1400000,1,3.727272727272727
2,1,1,800000,3200000,10,584,0,200000,2100000,700000,0,4.0
0,1,0,600000,1700000,2,621,400000,400000,2000000,200000,1,2.8333333333333335
4,1,1,700000,2700000,16,583,1100000,1200000,1400000,300000,1,3.857142857142857
2,0,0,8400000,25900000,16,621,8600000,13400000,33500000,4200000,1,3.0833333333333335
2,0,0,7100000,21500000,16,610,5800000,12100000,14200000,9300000,1,3.028169014084507
4,1,0,5400000,15700000,18,452,13700000,2600000,16500000,6600000,0,2.9074074074074074
5,1,0,3700000,7300000,18,339,9300000,100000,13900000,5300000,0,1.972972972972973
3,1,1,5200000,15200000,16,650,1300000,5700000,13500000,4100000,1,2.923076923076923
4,0,1,200000,700000,10,672,200000,200000,300000,300000,1,3.5
3,1,0,500000,1000000,20,501,800000,800000,900000,200000,0,2.0
2,0,1,1800000,5700000,4,809,1200000,1900000,6300000,2400000,1,3.1666666666666665
5,1,1,9200000,29400000,8,318,18000000,5900000,33800000,5400000,0,3.1956521739130435
4,0,0,900000,3300000,10,649,0,400000,1800000,1200000,1,3.6666666666666665
3,0,0,7500000,28300000,12,367,9200000,11300000,22700000,7000000,0,3.7733333333333334
5,0,0,3000000,11800000,6,847,8200000,2200000,7100000,2300000,1,3.933333333333333
5,1,0,7100000,18900000,12,360,10700000,1100000,19800000,8500000,0,2.6619718309859155
1,1,1,3500000,7200000,2,865,4100000,3200000,11900000,4200000,1,2.057142857142857
4,0,0,4900000,18800000,16,880,4200000,4700000,13200000,2600000,1,3.836734693877551
1,1,0,4100000,8400000,20,608,1400000,8000000,10000000,4400000,1,2.048780487804878
0,1,1,800000,2100000,6,760,300000,100000,1600000,600000,1,2.625
3,1,1,1700000,4600000,12,385,1500000,1300000,5200000,1700000,0,2.7058823529411766
0,1,1,6100000,23300000,12,478,3800000,2300000,17700000,4900000,0,3.819672131147541
1,1,1,2100000,7700000,16,327,5000000,500000,4700000,2300000,0,3.6666666666666665
0,1,0,3100000,9300000,6,663,1300000,1400000,8100000,3800000,1,3.0
2,0,1,1700000,3500000,20,693,2200000,1400000,4800000,1700000,1,2.0588235294117645
3,1,0,1700000,5400000,6,710,4800000,700000,5800000,1700000,1,3.176470588235294
4,0,1,4000000,14500000,6,711,2400000,5700000,10900000,4100000,1,3.625
5,1,0,5600000,18400000,8,386,11300000,6700000,11300000,5600000,0,3.2857142857142856
4,1,1,3900000,11900000,10,855,10200000,4000000,10200000,2800000,1,3.051282051282051
4,1,1,6100000,15300000,14,573,1100000,9900000,13300000,8400000,1,2.5081967213114753
0,1,1,1100000,2800000,18,431,500000,300000,4300000,1400000,0,2.5454545454545454
2,1,0,5500000,14800000,8,364,13000000,4500000,12600000,4500000,0,2.690909090909091
4,1,1,1100000,3600000,14,711,2500000,500000,3600000,600000,1,3.272727272727273
4,0,1,400000,900000,20,771,1000000,500000,1600000,500000,1,2.25
3,1,0,9200000,36400000,18,669,3100000,12700000,30900000,12300000,1,3.9565217391304346
4,0,1,9300000,27500000,18,338,21500000,500000,34900000,6600000,0,2.956989247311828
1,1,0,1100000,3500000,8,562,2300000,1200000,3200000,500000,1,3.1818181818181817
3,0,0,5600000,18700000,2,769,8000000,8200000,17300000,4800000,1,3.3392857142857144
0,1,1,6300000,21500000,8,629,600000,3400000,22000000,5200000,1,3.4126984126984126
3,1,0,8800000,18100000,6,699,6400000,2100000,18500000,9400000,1,2.0568181818181817
0,0,0,8400000,20800000,20,590,5100000,8900000,32100000,10800000,1,2.4761904761904763
3,1,1,1600000,5700000,4,707,3300000,2700000,6200000,2300000,1,3.5625
3,0,1,4500000,11400000,8,391,8500000,6800000,9900000,4500000,0,2.533333333333333
5,0,0,6500000,18500000,4,891,13600000,3300000,23600000,7100000,1,2.8461538461538463
3,1,1,9500000,20600000,2,731,13400000,3800000,20700000,9200000,1,2.168421052631579
3,0,0,4700000,16700000,12,775,4000000,1700000,17300000,3500000,1,3.5531914893617023
5,1,1,9600000,32400000,2,897,3500000,15400000,26800000,6200000,1,3.375
5,1,0,8000000,26700000,20,794,8000000,14700000,29900000,7800000,1,3.3375
2,1,0,7700000,16700000,6,555,12900000,2900000,18100000,8500000,1,2.168831168831169
1,0,1,3600000,10300000,12,536,6800000,500000,12200000,2700000,0,2.861111111111111
2,0,0,700000,1700000,10,839,100000,700000,2000000,900000,1,2.4285714285714284
0,1,1,1400000,5100000,6,890,4100000,1900000,5200000,1900000,1,3.642857142857143
1,1,1,8600000,27900000,20,415,12200000,14800000,27100000,7900000,0,3.244186046511628
4,1,0,4700000,15700000,4,868,3300000,2500000,13800000,4800000,1,3.3404255319148937
3,1,1,2900000,5800000,12,353,8400000,2600000,10100000,3100000,0,2.0
4,0,0,9000000,29000000,16,590,4600000,15600000,29200000,12300000,1,3.2222222222222223
5,1,1,500000,900000,18,618,1400000,600000,1200000,400000,1,1.8
2,0,1,700000,1700000,10,539,1400000,1000000,1900000,900000,0,2.4285714285714284
0,1,0,6800000,27000000,4,429,17100000,7600000,21400000,9400000,1,3.9705882352941178
2,1,0,1800000,4700000,8,792,4500000,1200000,4100000,2200000,1,2.611111111111111
0,0,0,6000000,12400000,2,608,3000000,2100000,17900000,6800000,1,2.066666666666667
4,1,1,5400000,21500000,14,555,4300000,1500000,14300000,7500000,1,3.9814814814814814
5,1,1,8400000,17500000,12,620,15300000,13600000,26000000,5800000,1,2.0833333333333335
0,1,0,7400000,20900000,6,635,15600000,14000000,21000000,7200000,1,2.824324324324324
2,1,0,3200000,12500000,10,457,6100000,2000000,8200000,4300000,0,3.90625
1,1,1,5400000,21400000,8,350,2600000,1000000,19700000,6800000,0,3.962962962962963
5,1,1,1000000,2500000,14,885,2200000,100000,2300000,1100000,1,2.5
0,1,0,4400000,14700000,16,638,4000000,2700000,14400000,2700000,1,3.340909090909091
1,1,1,3800000,10500000,12,710,1800000,6200000,12500000,2500000,1,2.763157894736842
3,0,1,6100000,20900000,18,470,500000,8500000,18000000,7500000,0,3.4262295081967213
5,0,1,5500000,17300000,16,874,1000000,2900000,13700000,7900000,1,3.1454545454545455
5,0,1,500000,1800000,18,411,1000000,500000,1300000,200000,0,3.6
0,0,1,300000,1100000,2,482,200000,100000,1100000,400000,1,3.6666666666666665
1,1,1,6200000,16900000,2,396,10600000,7500000,23700000,7600000,0,2.725806451612903
0,0,0,300000,900000,20,436,0,400000,600000,200000,0,3.0
0,0,1,6900000,22100000,20,303,13600000,4600000,22000000,6900000,0,3.2028985507246377
4,1,0,3700000,11400000,12,728,4200000,5800000,7300000,2300000,1,3.081081081081081
3,0,1,8800000,28600000,10,775,5200000,5000000,32000000,9600000,1,3.25
5,1,1,8200000,23500000,12,402,15100000,1500000,24300000,5800000,0,2.8658536585365852
1,0,1,9200000,31500000,18,698,5300000,6100000,20400000,8300000,1,3.4239130434782608
0,0,0,2400000,7800000,14,665,5200000,2900000,6200000,2900000,1,3.25
4,0,0,4100000,13500000,18,490,4700000,6200000,13900000,2000000,0,3.292682926829268
1,1,0,8000000,31900000,12,504,23800000,1500000,22100000,6000000,0,3.9875
3,0,1,3600000,8600000,8,790,5400000,5900000,9800000,5200000,1,2.388888888888889
1,0,1,700000,2700000,20,669,100000,1000000,2600000,500000,1,3.857142857142857
4,0,0,8300000,30700000,6,381,21700000,2300000,26700000,4600000,0,3.6987951807228914
0,1,1,5300000,15000000,2,900,1700000,2100000,21000000,5800000,1,2.830188679245283
4,1,0,8300000,24900000,16,506,15400000,5600000,26700000,7000000,0,3.0
3,0,1,2500000,8800000,12,538,4900000,1800000,9100000,3300000,0,3.52
3,1,1,5400000,14400000,8,677,11000000,7900000,20800000,3100000,1,2.6666666666666665
4,1,0,1600000,4900000,8,685,3200000,2000000,3800000,1500000,1,3.0625
2,0,0,2400000,6200000,12,860,4900000,3700000,9500000,1100000,1,2.5833333333333335
5,0,0,6300000,14800000,6,608,16100000,10500000,21800000,5400000,1,2.3492063492063493
4,1,1,2500000,5300000,10,540,2300000,2800000,7100000,1700000,0,2.12
0,1,1,7500000,16800000,16,492,21500000,4800000,25400000,11100000,0,2.24
3,0,0,2900000,8500000,14,834,1200000,4500000,8800000,1800000,1,2.9310344827586206
3,1,1,1000000,3500000,16,834,800000,1700000,3000000,700000,1,3.5
2,1,1,8600000,28800000,8,890,23300000,5900000,21200000,7200000,1,3.3488372093023258
1,0,0,300000,1100000,12,443,600000,400000,1200000,200000,0,3.6666666666666665
5,0,0,2300000,5700000,18,329,5600000,3300000,4900000,2700000,0,2.4782608695652173
2,0,1,2400000,5400000,12,739,300000,2500000,5000000,3000000,1,2.25
5,1,1,9800000,30300000,6,867,20800000,16000000,30200000,7600000,1,3.0918367346938775
2,0,0,8100000,24800000,6,307,200000,4000000,31100000,10500000,0,3.0617283950617282
3,1,0,6700000,15500000,18,492,2100000,2000000,26300000,9400000,0,2.3134328358208953
1,0,1,8400000,24700000,18,698,23000000,13200000,32700000,12200000,1,2.9404761904761907
2,1,0,200000,700000,8,851,400000,200000,800000,200000,1,3.5
2,1,0,4700000,12500000,14,375,1300000,6300000,10100000,5400000,0,2.6595744680851063
0,1,1,4300000,14300000,14,601,3800000,900000,16700000,5700000,1,3.3255813953488373
4,0,0,2200000,7000000,20,756,3600000,3900000,5700000,1200000,1,3.1818181818181817
4,1,1,8600000,19200000,4,868,20400000,1500000,32800000,9300000,1,2.2325581395348837
4,1,1,2000000,7200000,10,838,2500000,300000,7600000,1000000,1,3.6
4,0,1,4200000,15900000,14,375,7200000,7900000,16200000,3000000,0,3.7857142857142856
0,0,1,5100000,12500000,18,778,3300000,1000000,14800000,3200000,1,2.450980392156863
2,1,1,4100000,11200000,6,442,12200000,4100000,10000000,4500000,0,2.731707317073171
1,1,1,9900000,39500000,12,808,11800000,3700000,30200000,13500000,1,3.98989898989899
1,0,1,3200000,9000000,20,372,2700000,2800000,7200000,3800000,0,2.8125
2,1,0,5500000,19000000,4,597,1100000,4000000,18700000,5300000,1,3.4545454545454546
0,1,1,7800000,29100000,20,435,21100000,13000000,17300000,9700000,0,3.730769230769231
3,1,1,3400000,9700000,20,728,1500000,1500000,7300000,2400000,1,2.8529411764705883
4,1,1,7900000,25900000,14,373,10900000,14300000,27700000,7600000,0,3.278481012658228
3,1,1,8900000,18500000,10,367,6100000,0,32000000,10300000,0,2.0786516853932584
2,1,0,7300000,19100000,14,552,2000000,13400000,16800000,4000000,1,2.6164383561643834
4,0,1,3300000,10600000,8,465,500000,4400000,7300000,2800000,0,3.212121212121212
4,1,1,2900000,10500000,8,607,4400000,5500000,7600000,3800000,1,3.6206896551724137
2,1,1,500000,1300000,4,427,1400000,500000,1800000,600000,0,2.6
3,0,0,7200000,21200000,4,711,10800000,4200000,24900000,5700000,1,2.9444444444444446
3,0,0,8300000,24100000,14,823,5900000,700000,24000000,7700000,1,2.9036144578313254
1,0,1,8700000,20500000,6,523,19300000,6500000,23700000,4800000,0,2.3563218390804597
4,0,1,7100000,27900000,10,328,9000000,13400000,26500000,7700000,0,3.9295774647887325
3,1,1,9800000,28200000,12,721,15800000,6500000,21900000,9600000,1,2.877551020408163
0,1,1,6900000,17000000,20,599,18100000,9400000,26600000,4300000,1,2.463768115942029
0,0,0,2400000,5000000,14,580,5900000,4400000,5500000,3200000,1,2.0833333333333335
1,0,1,2100000,4900000,10,744,200000,2000000,5400000,1000000,1,2.3333333333333335
2,1,1,7200000,23900000,4,559,4200000,12200000,17800000,10800000,1,3.3194444444444446
2,1,0,4600000,13500000,16,587,7700000,5900000,10600000,5000000,1,2.9347826086956523
5,1,1,9900000,31800000,18,817,23400000,700000,32600000,11500000,1,3.212121212121212
4,0,1,300000,1000000,20,655,0,100000,1100000,400000,1,3.3333333333333335
5,1,1,6900000,23900000,6,382,17100000,6900000,21500000,8900000,0,3.463768115942029
2,1,1,1700000,4300000,6,765,5000000,1500000,3400000,900000,1,2.5294117647058822
2,1,1,4400000,10000000,20,516,7400000,7600000,12200000,5100000,0,2.272727272727273
4,0,1,4300000,15000000,8,383,4700000,100000,9000000,4900000,0,3.488372093023256
2,0,0,3700000,14100000,6,633,800000,200000,11300000,3400000,1,3.810810810810811
1,1,0,5900000,15200000,2,547,17100000,2000000,14700000,3600000,0,2.5762711864406778
5,0,1,8600000,26300000,10,843,23300000,9800000,18100000,11300000,1,3.058139534883721
3,0,1,3400000,13200000,8,783,6500000,300000,13000000,4900000,1,3.8823529411764706
3,0,1,1000000,3200000,14,790,1900000,100000,3600000,1100000,1,3.2
1,0,1,4400000,14200000,16,409,12700000,1300000,12600000,4500000,0,3.227272727272727
0,0,0,3600000,7800000,14,376,9800000,6900000,11900000,3000000,0,2.1666666666666665
3,0,0,1400000,2700000,8,625,3100000,1800000,3400000,1000000,1,1.9285714285714286
0,0,0,5300000,10900000,18,707,12900000,2600000,12700000,7600000,1,2.056603773584906
3,1,1,9400000,20500000,6,645,17400000,13000000,24500000,10200000,1,2.1808510638297873
4,0,1,6600000,22100000,6,887,3600000,3500000,19800000,4700000,1,3.3484848484848486
5,1,0,9800000,37600000,18,319,19200000,5100000,19900000,5100000,0,3.836734693877551
1,0,0,1900000,4900000,20,647,4100000,2100000,6800000,1700000,1,2.5789473684210527
2,0,1,5800000,22500000,6,888,11900000,2600000,17100000,4800000,1,3.8793103448275863
2,0,0,3100000,10400000,10,420,6900000,5900000,10000000,3500000,0,3.3548387096774195
0,1,0,6800000,18400000,2,791,4000000,900000,20200000,9900000,1,2.7058823529411766
5,0,0,4600000,16200000,12,891,5900000,1200000,10800000,3700000,1,3.5217391304347827
2,0,1,200000,700000,16,641,600000,200000,600000,100000,1,3.5
3,0,1,9500000,22800000,6,319,200000,18800000,34100000,9400000,0,2.4
5,0,1,6200000,22200000,20,819,13500000,6600000,21700000,8700000,1,3.5806451612903225
4,0,1,9700000,32300000,18,387,11600000,14300000,20000000,5400000,0,3.329896907216495
5,1,1,4200000,12300000,2,686,10500000,200000,15600000,4200000,1,2.9285714285714284
1,1,1,5700000,12000000,4,415,15700000,900000,17300000,7400000,0,2.1052631578947367
2,1,1,200000,500000,6,885,-100000,0,300000,200000,0,2.5
4,1,0,8000000,25500000,4,722,17200000,13900000,26200000,4900000,1,3.1875
4,1,0,5200000,20400000,20,761,4700000,1600000,14300000,6200000,1,3.923076923076923
1,1,1,7100000,15200000,8,389,5900000,900000,24300000,5900000,0,2.140845070422535
1,1,1,9300000,27900000,12,600,2100000,4200000,29000000,6600000,1,3.0
5,1,0,2000000,6100000,2,407,1900000,1900000,4600000,2000000,1,3.05
3,1,1,3900000,14000000,18,829,5200000,4000000,11600000,2700000,1,3.58974358974359
2,0,0,2800000,5900000,6,895,1000000,3900000,10900000,1500000,1,2.107142857142857
5,1,1,3000000,11100000,12,441,8500000,2500000,7300000,2000000,0,3.7
4,0,0,4500000,9800000,16,895,9800000,8200000,13900000,5500000,1,2.1777777777777776
4,1,0,1900000,4300000,4,826,2400000,0,7000000,900000,1,2.263157894736842
1,1,0,2300000,7200000,8,453,3000000,2100000,8100000,3400000,0,3.130434782608696
0,1,0,4700000,17500000,2,701,5400000,2300000,11700000,7000000,1,3.723404255319149
2,0,1,1300000,2700000,8,627,100000,300000,2600000,1300000,1,2.076923076923077
3,1,0,3100000,11000000,2,543,5900000,2200000,9000000,2400000,1,3.5483870967741935
0,1,0,8400000,17500000,18,411,13200000,5300000,31300000,10400000,0,2.0833333333333335
5,1,1,1700000,5800000,4,583,2000000,1800000,6000000,2300000,1,3.411764705882353
2,0,0,1900000,7500000,2,889,600000,1100000,7100000,2600000,1,3.9473684210526314
3,0,0,2400000,8600000,8,684,3400000,2400000,6200000,1600000,1,3.5833333333333335
5,1,0,6800000,20500000,10,578,500000,11800000,27200000,3400000,1,3.014705882352941
1,1,0,2900000,10900000,20,445,6600000,2800000,9300000,2600000,0,3.7586206896551726
4,1,1,8900000,26300000,10,369,23900000,7000000,27400000,12100000,0,2.955056179775281
1,0,0,8800000,22200000,18,794,8400000,11900000,21000000,10500000,1,2.522727272727273
0,1,1,8200000,19200000,16,492,16500000,9200000,20000000,7200000,0,2.341463414634146
3,0,1,3600000,13200000,16,557,9800000,4000000,9900000,2100000,1,3.6666666666666665
4,1,1,9500000,31800000,6,519,5900000,1300000,28400000,12200000,0,3.3473684210526318
0,0,1,1900000,5700000,18,699,5500000,200000,6500000,2000000,1,3.0
3,0,1,9100000,24600000,2,741,8000000,4000000,35500000,13600000,1,2.7032967032967035
5,1,0,1100000,3800000,18,508,200000,1800000,2300000,900000,0,3.4545454545454546
5,0,1,1100000,2800000,10,647,2700000,2000000,4300000,1400000,1,2.5454545454545454
1,1,0,9300000,28600000,14,656,17300000,9100000,27400000,12500000,1,3.075268817204301
4,1,1,3900000,10600000,2,439,300000,7600000,14800000,2500000,0,2.717948717948718
5,0,1,1500000,4000000,12,350,2900000,1900000,4400000,1200000,0,2.6666666666666665
5,1,0,800000,2200000,6,493,900000,500000,2800000,1000000,0,2.75
4,1,0,600000,1800000,6,851,100000,1100000,2100000,800000,1,3.0
2,1,0,4400000,12500000,18,492,7900000,1200000,10100000,2700000,0,2.840909090909091
4,1,1,2700000,5400000,6,861,6300000,2400000,6700000,2700000,1,2.0
3,0,1,6200000,14600000,2,664,18300000,8400000,16800000,6600000,1,2.3548387096774195
5,1,1,700000,1300000,16,362,2100000,1300000,2000000,1000000,0,1.8571428571428572
0,1,0,3400000,9400000,6,703,600000,6000000,8600000,2600000,1,2.764705882352941
1,0,1,4900000,16800000,12,758,1700000,2700000,11100000,5900000,1,3.4285714285714284
